all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
0,0,0,0,0,0,0,0,0,0,0,0,b053df41822a7304fa814612200b4b31b6d53141
0,0,0,0,0,0,0,0,0,0,0,0,6d0fd2bfdea1d1f68e90545a511454d531d9353b
0,0,0,0,0,0,0,0,0,0,0,0,ba9468266f6bd9b19583ae9f2870f845a09ab24c
0,0,0,0,0,0,0,0,0,0,0,0,de80166b6d427f6fd96799629c1a877e835706ce
0,0,0,0,0,0,0,0,0,0,0,0,f31421576b00f0b167cdbe61217c31c21a41ac02
0,0,0,0,0,0,0,0,0,0,0,0,c4f6d493b3439f4f39c75b64fb9f8caca79485b7
0,0,0,0,0,0,0,0,0,0,0,0,b9426ef99a35d9b0bddbb79c40b85c7d3dfd64b9
0,0,0,0,0,0,0,0,0,0,0,0,381b3c971ae3217b50462cdd82388802248ee1a0
0,0,0,0,0,0,0,0,0,0,0,0,5170a9fe2c7d0d50ff2ae025fa475467696e525b
0,0,0,0,0,0,0,0,0,0,0,0,288ce6b32e3768659f5320214de9eafed8238ddf
0,0,0,0,0,0,0,0,0,0,0,0,145a024d7b4729b361aeb54d178081e3f087bdc3
0,0,0,0,0,0,0,0,0,0,0,0,631ac37843f10c8de777fd2d97564ae24ea8a5f6
0,0,0,0,0,0,0,0,0,0,0,0,83d15afc6fd856ce55b71d4a49a8e891c589e277
0,0,0,0,0,0,0,0,0,0,0,0,3807824c6d0dae63b9f36dbafe8e100b0a3beaa6
0,0,0,0,0,0,0,0,0,0,0,0,f4fca1069a0aba09e06a69b33e09220f477958be
0,0,0,0,0,0,0,0,0,0,0,0,a2a8deaeaa12122f94ec7f0b820adce051f2a5f5
0,0,0,0,0,0,0,0,0,0,0,0,cb7fb5273627711a3a5733f6aa6ccc8dc4239adf
0,0,0,0,0,0,0,0,0,0,0,0,9681e1fa045406eeacae202a4269e68abeb7f834
0,0,0,0,0,0,0,0,0,0,0,0,ef8ea1349585aba406395aaa0897afc3f6d110f5
0,0,0,0,0,0,0,0,0,0,0,0,2c873a44671f206431c9117225049426769f2cc4
0,0,0,0,0,0,0,0,0,0,0,0,3da6370a654b20cd90cd1bf492cd032c57e177b2
0,0,0,0,0,0,0,0,0,0,0,0,03647d64e9c8dd085f4cd9b67eb197cb72b2e00c
0,0,0,0,0,0,0,0,0,0,0,0,7eb2dd2deeb7aca2292654255bf03372ff61ce27
0,0,0,0,0,0,0,0,0,0,0,0,e0e98d10ceacb9853cb5e6cb7c8f78cf8db3263b
0,0,0,0,0,0,0,0,0,0,0,0,7ce5db97ed8fd5233b0fd7e93c34e1c3da1788f6
0,0,0,0,0,0,0,0,0,0,0,0,4608a93de59ef274b8820dcff88af786cb73f1c8
0,0,0,0,0,0,0,0,0,0,0,0,530e54b3e44becd9ad631a6500e4232ccadac1af
0,0,0,0,0,0,0,0,0,0,0,0,7be8d134c9f91d71c08270786a0ca18a2e49b1e9
0,0,0,0,0,0,0,0,0,0,0,0,6bebedd7ebb9ea635960ff49c933adb2cff2bddf
0,0,0,0,0,0,0,0,0,0,0,0,659c0efd722acc6e8d4b5218594c7954f9cb77f0
0,0,0,0,0,0,0,0,0,0,0,0,4a891b4108b443ff535db1ae4caec5155189d05a
0,0,0,0,0,0,0,0,0,0,0,0,11f79300385b40cc19106837a75dc412e9693857
0,0,0,0,0,0,0,0,0,0,0,0,bd37864242907f780162e7af87506a5f450579bc
0,0,0,0,0,0,0,0,0,0,0,0,be9fdc8ef12e7a4c4db32fa7889fe0fe93d17f8d
0,0,0,0,0,0,0,0,0,0,0,0,6eda2cf383040271e191b883599043eddd1d6cc3
0,0,0,0,0,0,0,0,0,0,0,0,d079c8e5f3f8dce3ae1814fd797e53cb7354a43c
