all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
0,0,0,0,0,0,0,0,0,0,0,0,042ce8780d989197c3d672807f54aa3e6baded3e
0,0,0,0,0,0,0,0,0,0,0,0,1fee50e7b0b684ab5f3be6ba4362c03951d166ce
0,0,0,0,0,0,0,0,0,0,0,0,010871c8a4b89cd7fdabf924e634c361d77fe8da
0,0,0,0,0,0,0,0,0,0,0,0,af255d2359408885dc69e4c68701661b1c1ef84a
0,0,0,0,0,0,0,0,0,0,0,0,be18fcfd5d207c46100bab82039fd19b6870d96e
0,0,0,0,0,0,0,0,0,0,0,0,c7ba474fd1abbb879cd8e7859e1d17900b342a05
0,0,0,0,0,0,0,0,0,0,0,0,034f2c2094142836473f75983fe2b6d952e29513
0,0,0,0,0,0,0,0,0,0,0,0,5e63d84e6084f963314995b24612846171fb7f48
0,0,0,0,0,0,0,0,0,0,0,0,98008c0badafae04ff3cfa4112242ed4f4ff50cc
0,0,0,0,0,0,0,0,0,0,0,0,9bccbfaa3e6807baec0a3f292844d0dbb58ff6df
0,0,0,0,0,0,0,0,0,0,0,0,721f55a0a71dd49c8fb51e2d3320dde1c3cc3579
0,0,0,0,0,0,0,0,0,0,0,0,5f317b2b6a78b753575a07de971b5f16e7744454
0,0,0,0,0,0,0,0,0,0,0,0,d172a39987686493f819b178857bdb1f1f0cdb5e
0,0,0,0,0,0,0,0,0,0,0,0,390a7b12442389a84cb675238e04b34f0f1ea858
0,0,0,0,0,0,0,0,0,0,0,0,f4a9d2c13f21b167427afda408d409d829057616
0,0,0,0,0,0,0,0,0,0,0,0,34ce80b264042a9d09a808b0f9635504b5be55dd
0,0,0,0,0,0,0,0,0,0,0,0,dca5b973071c58be37ffec7b94dc6068b609bf2e
0,0,0,0,0,0,0,0,0,0,0,0,92c6e959588336f394c35418a5e7493e9ef62915
0,0,0,0,0,0,0,0,0,0,0,0,f2a7e9b5a68fcfa615b17d9c74a0fe313f86bbf7
0,0,0,0,0,0,0,0,0,0,0,0,faf8af0c8c8eb02f1bf3af33af9349c7cd2a64a7
0,0,0,0,0,0,0,0,0,0,0,0,edbe4775e8502c2ba48ad7eed088f52908b2154b
0,0,0,0,0,0,0,0,0,0,0,0,975a2c8c2919636e33ce7d4208089e7dacb89796
0,0,0,0,0,0,0,0,0,0,0,0,828d425f780cf45988fb5a81f83dbe94b3ed1b74
0,0,0,0,0,0,0,0,0,0,0,0,3c0bd487c474b81466d5d8076a74f3f2ff6d079a
0,0,0,0,0,0,0,0,0,0,0,0,a2174ef1cde65d1eb462ec5b3c96b1b6870ff843
0,0,0,0,0,0,0,0,0,0,0,0,bf5add0fcf0c2bb94dab9c8234105876bda40f52
0,0,0,0,0,0,0,0,0,0,0,0,08658bef56504fd18b9d3d87bdaa7d46de6d6926
0,0,0,0,0,0,0,0,0,0,0,0,50766b238fa8c2ef1e8c101552b6046fe76fcf4f
0,0,0,0,0,0,0,0,0,0,0,0,6d92672646a784edd22805687bc1c182a8bf73be
0,0,0,0,0,0,0,0,0,0,0,0,26f60b5ae00a438c23822d457cae1a61f880e7c0
0,0,0,0,0,0,0,0,0,0,0,0,bd283de2c4a916b93d1362de4025df92e5df1491
0,0,0,0,0,0,0,0,0,0,0,0,08c746fe2dc13d35e1c124f022ae530c0784d9f0
0,0,0,0,0,0,0,0,0,0,0,0,c78f2bf74db385fa65af72db8cd57af7fecfef6d
0,0,0,0,0,0,0,0,0,0,0,0,ac252f5a933f53f401fd1546cacf833edd4b8153
0,0,0,0,0,0,0,0,0,0,0,0,29a5ec0a39e2142b9cf197b9a8641df4542436ff
0,0,0,0,0,0,0,0,0,0,0,0,51fbeca0d87a4e96d4f6d74ec78130b01c54005d
0,0,0,0,0,0,0,0,0,0,0,0,a7f05dc09348baff333858cb9b781c97a1713b21
0,0,0,0,0,0,0,0,0,0,0,0,f1f5f4adde59bc1d6aadecf30c7a8c48ecc41a9d
0,0,0,0,0,0,0,0,0,0,0,0,2512b3d024eb2abfdfc850028a288872afb33bee
0,0,0,0,0,0,0,0,0,0,0,0,cee3f9a3a97fc4a88bdb8895fe1111ecf5964b54
0,0,0,0,0,0,0,0,0,0,0,0,852c106844fb6f4702465f8eb9a34d016ffbbc30
0,0,0,0,0,0,0,0,0,0,0,0,cef95dd7ad57fc7bec41e821b22e23e7f032d0f9
4,4,0,4,0,4,0,0,0,4,0,0,eea1a3674ffb77cecfb5c401495eaba00338a1b6
4,4,0,4,0,4,0,0,0,4,0,0,e42e76bced7580c49d697b545168065c15d1c0cc
4,4,0,4,0,4,0,0,0,4,0,0,634a1e862db527e490a07a4cf5ad93d850c56da4
4,4,0,4,0,4,0,0,0,4,0,0,88fc8f35a40a2908ace5444e3e33db18ddaff3bb
4,4,0,4,0,4,0,0,0,4,0,0,3fb8b66f3abd442282b86e1019e53a96c9fb150e
4,4,0,4,0,4,0,0,0,4,0,0,3de31b22c585946e96f7233aec248ce2dfda9265
4,4,0,4,0,4,0,0,0,4,0,0,540c7a090ac63b2f51d10231d21f3c8ecfb22ad8
4,4,0,4,0,4,0,0,0,4,0,0,6d0838cdcf4fbc8374344c1d051910dc01b7775d
4,4,0,4,0,4,0,0,0,4,0,0,68a006f8ac643b4637d8e5c63694fb1bbc47cee8
4,4,0,4,0,4,0,0,0,4,0,0,343053672a67f2ca87a0bebbe9fa0c4e9473349d
6,6,0,6,0,6,0,0,0,6,0,0,6e2be4314cdcdddeae272a9b257e4ae13df3c217
8,8,0,8,0,8,0,0,0,8,0,0,51492559d7a279b58c2b92dd2583d8fcc46e4b00
8,8,0,8,0,8,0,0,0,8,0,0,be7a64cdf99d7a2873b9106df20d26b5373f5581
9,9,0,9,0,9,0,0,0,9,0,0,93389780c1097a24dfd8f2e56cee18362251f6f3
9,9,0,9,0,9,0,0,0,9,0,0,fea05c8abb2dadf2d31b29c7420e3a5166aa6fe5
10,10,0,10,0,10,0,0,0,10,0,0,d91f62e9da6a6bd59161138d89eb6401ab57eefa
10,10,0,10,0,10,0,0,0,10,0,0,304f4b893844573334747a35340dfd83a44842a8
10,10,0,10,0,10,0,0,0,10,0,0,0a16b541e782485e2cdaf199b34b1d260e5f6cad
10,10,0,10,0,10,0,0,0,10,0,0,6caf2871eada9907bf4cb6414a0fe71c4e8ae109
10,10,0,10,0,10,0,0,0,10,0,0,69a6994b20642bcfc3dacca00927fdfb486d6a8f
10,10,0,10,0,10,0,0,0,10,0,0,e3fe98f7a43863a0eb0d071bd8558ab42a77d3a2
10,10,0,10,0,10,0,0,0,10,0,0,843251249e80fc192052ae8834c1f097effacb4e
10,10,0,10,0,10,0,0,0,10,0,0,6675504087867329fa6e877bfb5e26395d5e3eae
10,10,0,10,0,10,0,0,0,10,0,0,2057706c6157805fa34731c8d0933409c8ee3cc7
10,10,0,10,0,10,0,0,0,10,0,0,207d455d211b0e40450bd7c73a075cccd7409294
10,10,0,10,0,10,0,0,0,10,0,0,a3ec2b52ad0e3e8d00232deeeb8d590b90cb141d
10,10,0,10,0,10,0,0,0,10,0,0,b5d45fed3b46a39fc48eaea08143e1a407329075
10,10,0,10,0,10,0,0,0,10,0,0,2424649c9f35aee1637cc7e8b14e2b6018814254
