all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
0,0,0,0,0,0,0,0,0,0,0,0,18dca831105ee96c1786bd6f62ea4fb3075a9fbf
0,0,0,0,0,0,0,0,0,0,0,0,0f2b2c1801fb1f9ab00fa52803aa67bceb511205
0,0,0,0,0,0,0,0,0,0,0,0,8d1d3dcdc2efee633d3f9761369f8de7fca8580d
0,0,0,0,0,0,0,0,0,0,0,0,f33e563ef432e8efecc52f9d7fbae4f4a1771ad5
0,0,0,0,0,0,0,0,0,0,0,0,a2b93af83fbc8f9ab5e58d1302fbf351e02d7e75
0,0,0,0,0,0,0,0,0,0,0,0,b321c55c5773bdfbb59a4068c585d03950c1601f
0,0,0,0,0,0,0,0,0,0,0,0,6a031f3f9ad4b0fd30f703e7e92956446994d2cc
0,0,0,0,0,0,0,0,0,0,0,0,1a8f60c0acdfb888d3452cfca22a71f20776c760
0,0,0,0,0,0,0,0,0,0,0,0,42672a09fc24a07a2e1e8ef01629ab55920bae80
0,0,0,0,0,0,0,0,0,0,0,0,4b0ece06131e266689eb0766b1936704be15598f
0,0,0,0,0,0,0,0,0,0,0,0,c89c4acea15c471808a7ac136a38a1818e79c662
0,0,0,0,0,0,0,0,0,0,0,0,bda4f43a23406a09cd94892171863252bffcaa22
0,0,0,0,0,0,0,0,0,0,0,0,73eb0298b17b16dfef3531f88ef7bd36996b3b1a
0,0,0,0,0,0,0,0,0,0,0,0,547cebc5ed271fafc5930a192bb5d03247b8c0cc
0,0,0,0,0,0,0,0,0,0,0,0,5dbe540e3ef559578ca2c0d463dda78dd8d55b59
0,0,0,0,0,0,0,0,0,0,0,0,3519b04aea6f477ca6450dbbac5ee1a4882a67cb
0,0,0,0,0,0,0,0,0,0,0,0,f75bc345f2f1037f61341c7c700f44d27f53e033
0,0,0,0,0,0,0,0,0,0,0,0,ba300824a37e5aac7e06ddee0a74fd3ad7735a85
0,0,0,0,0,0,0,0,0,0,0,0,3747ee6ea7289ba79b49571b4e4f214356478222
0,0,0,0,0,0,0,0,0,0,0,0,97f42fee0923082ddf093a2a905fccf608351c12
0,0,0,0,0,0,0,0,0,0,0,0,47216556f8b860569138df49f92580674cc958a9
0,0,0,0,0,0,0,0,0,0,0,0,4d37d295babed751cac609510a24c45aaebf7683
0,0,0,0,0,0,0,0,0,0,0,0,180fe9eeae58f5806047a2a1e219c7d2b12a8a5a
0,0,0,0,0,0,0,0,0,0,0,0,1dcc20b2887c63ebfa4352afce65394640a1d8f6
0,0,0,0,0,0,0,0,0,0,0,0,612bd86c8766d2e147190a4c7f97f098b0ef4117
0,0,0,0,0,0,0,0,0,0,0,0,b4426e3e11d7f623f2c7ca8261bc19fad0fe3cda
0,0,0,0,0,0,0,0,0,0,0,0,33901eb4817d811ee7196fcd3c2b245cb2de9d59
0,0,0,0,0,0,0,0,0,0,0,0,2496b1bfe1617f71d2677d20e8bc6087fc4f6fbf
0,0,0,0,0,0,0,0,0,0,0,0,624034a582a82c6f05d6d990fa9157c2eb40b4cc
