all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
20,19,0,0,0,0,0,6,0,0,0,0,05bff2bd41a7d1930dbfc4eb87a19e1461f5b467
20,19,0,0,0,0,0,6,0,0,0,0,8d86fe2391e00e7807c51ec022593cdebecd9785
21,19,1,1,0,0,0,6,0,0,0,0,e595105d6ccac29343c5629097bb35e4c6f77485
21,19,1,1,0,0,0,6,0,0,0,0,8a9d7c9071ad7469575f01a03fba5c460e69295c
21,19,1,1,0,0,0,6,0,0,0,0,510bb129a418adf74b7c4d49530166fb82e1f3ef
21,19,1,1,0,0,0,6,0,0,0,0,d0cb3dc7ee1fe57ef03603ef05921ef0b440d988
20,19,0,0,0,0,0,6,0,0,0,0,c42fd269b27e13e4424d179a6dc82763daf7afc5
23,20,1,2,0,0,0,6,0,0,0,0,6bfff1274a527be464fa4a2c97b6b41ab1db1cf9
23,20,1,1,0,0,0,6,0,0,0,0,5493345280c08af23ddf7f2c3ead8a526155a5ac
23,20,1,1,0,0,0,6,0,0,0,0,3f3aade2f67a28e7946d32b5694e399612eb1e27
23,20,1,1,0,0,0,6,0,0,0,0,0e52303b4ffb5eb2c1fa1a1254bcde6d738784ee
23,20,0,0,0,0,0,6,0,0,0,0,84546f40deabb09a308f6c73f7f349211bfe821a
23,20,0,0,0,0,0,6,0,0,0,0,6be7ec08a69228e336e8a1d1bd51aa01ea27e157
23,20,0,0,0,0,0,6,0,0,0,0,a24c61ee3a93c3705648d5dffc3920e4aa9c3906
23,20,0,0,0,0,0,6,0,0,0,0,746e14ba08d9fe899b44ac250cf76b7be2292c44
23,20,0,0,0,0,0,6,0,0,0,0,87a358ae1af46627b116eba0636d656ed48b97a0
23,20,0,0,0,0,0,6,0,0,0,0,90bb07081147430f8251305422f98721ea08dcb0
23,20,0,0,0,0,0,6,0,0,0,0,ab7c96831bc06052900535245755bf638cc11a3b
23,20,0,0,0,0,0,6,0,0,0,0,e4772200259dbc9c82b387ca2cc96f22e0d4601d
23,20,0,0,0,0,0,6,0,0,0,0,c0b3205567ab6a90dbf1172fdc8ff1022191ba2d
21,18,0,0,0,0,0,4,0,0,0,0,c5ba5e8bb471a84c3d4bb9499b119eff37324588
21,20,0,0,0,0,0,4,0,0,0,0,30ea5ee9f33da103921e023f327e0eb7fbc59506
21,20,0,0,0,0,0,4,0,0,0,0,a588d4ed45713af27e35f4791cd2de7543638991
21,20,0,0,0,0,0,4,0,0,0,0,094a47dca4c25b190d79e65a4f2c7d8515e98220
21,20,0,0,0,0,0,4,0,0,0,0,1812cceb910735b86138e2e1c12f79ad4ecc90de
21,20,0,0,0,0,0,4,0,0,0,0,4076a37196dbf8c7d9eea9e199c24d20fe6f00b7
21,20,0,0,0,0,0,4,0,0,0,0,cdfe1dadd5c3415a9bc8bc7b4f5725a8fa0a985d
22,21,0,0,0,0,0,4,0,0,0,0,1edbbdef179080e33f076e2740b9c92628a289dd
22,21,0,0,0,0,0,4,0,0,0,0,345f59e9e0ef81fbc48cbfd42b69f76f7d5eaa25
23,21,0,0,0,0,0,4,0,0,0,0,b9a8e7167649750e0a4332619892aeda9439285f
23,21,0,0,0,0,0,4,0,0,0,0,5e24f318d90179554b4a6875f0ca693ff7f67d70
23,21,0,0,0,0,0,4,0,0,0,0,f004df0a08faf8c8ccd0d9e586088d6f1c20066b
24,21,0,0,0,0,0,4,0,0,0,0,001c3f94a1f3ee8c1a6039111bc23e526681ce69
24,21,0,0,0,0,0,4,0,0,0,0,0586443e8f642cbbb6a5846403df528459b21895
24,21,0,0,0,0,0,4,0,0,0,0,91e85e2ca24cae569f16d99c23c1655809722700
24,21,0,0,0,0,0,4,0,0,0,0,32d60eaf28dd2583cc631f43bf7a0d78603b85eb
24,21,0,0,0,0,0,6,0,0,0,0,c75763d2cdc4714d54e94ef2c0fbc16b16d156c1
24,21,0,0,0,0,0,6,0,0,0,0,fd46f07416377a951737ba77439d501e3cf5633a
24,21,0,0,0,0,0,6,0,0,0,0,b6a294e8b1dc6ddb291839043fe5d4467571a15b
24,21,0,0,0,0,0,6,0,0,0,0,4f3907f4e0b57efe02c582bd2996872b2ece066d
25,22,0,0,0,0,0,6,0,0,0,0,37f6827612ca1b9231dbfed75932c5b469b6740e
25,22,0,0,0,0,0,7,0,0,0,0,34fa86b25b46e6db9164eb12137bad99bd2fe0d8
