all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
0,0,0,0,0,0,0,0,0,0,0,0,82672e171daf41b48c017d7457334c672a09059e
0,0,0,0,0,0,0,0,0,0,0,0,ead40d738c584fba2bfbf545159e1950de22d5ae
0,0,0,0,0,0,0,0,0,0,0,0,5eb04412c14a5a09c1cf7617920f2ac86486d3c0
15,9,3,3,2,2,3,3,0,0,0,0,9b0b18ed9161cbc9dad27c7fbbb2b2286e8718cb
15,9,3,3,2,2,3,3,0,0,0,0,9903e7a39a8313a43405e4337e2b7861920f2527
15,9,3,3,2,2,3,3,0,0,0,0,991374561e2a9ea831e91673118a502c7bee862c
15,9,3,3,2,2,3,3,0,0,0,0,1f54c14d50c0fad111b85e2c1941cb724ff98f15
15,9,3,3,2,2,3,3,0,0,0,0,8570c5de16db940c0ec94a11ebffa6e4ad0508f0
15,9,3,3,2,2,3,3,0,0,0,0,f17e3d53de31a39cd88675f5838727e0c9b4d30f
15,9,3,3,2,2,3,3,0,0,0,0,24c60b58f8a742d357a85954e814f291585e9b3c
15,9,3,3,2,2,3,3,0,0,0,0,bbe58655e6efed40431ab8c733c8d30ba9b439e3
15,9,3,3,2,2,3,3,0,0,0,0,b791bd0dd7261134025841e1ee4dd88075aae971
15,9,3,3,2,2,3,3,0,0,0,0,4c3d2554e61eaf7118a431a517976c30bb064400
15,9,3,3,2,2,3,3,0,0,0,0,5e952b90abbc8aa0592b4a3a2f969855288c8ea0
15,9,3,3,2,2,3,3,0,0,0,0,10d40ff61ab7b8b1bac3a586a3227a0bc47e7cff
15,9,3,3,2,2,3,3,0,0,0,0,7d2183b39a1ed59f6ceea72d9f5b1b31431ef0db
15,9,3,3,2,2,3,3,0,0,0,0,9addf5b597f2b4ab85cd7237564e4e2d4e970a8b
15,9,3,3,2,2,3,3,0,0,0,0,450e8faf7cf9debd688003e403e6ce32f76f4f07
15,9,3,3,2,2,3,3,0,0,0,0,7c4496dac8bb3396149485586bd5487b06766fc2
15,9,3,3,2,2,3,3,0,0,0,0,0539f68fa1c3883be70138c52e1ddbef99022ee6
