all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
0,0,0,0,0,0,0,0,0,0,0,0,c2000d7de68ef955a85cf8f5f6e78d4f25c10103
0,0,0,0,0,0,0,0,0,0,0,0,97c152c463713bdaa0c1531a910eeae681035489
0,0,0,0,0,0,0,0,0,0,0,0,368a064ae4ca77ac540ef4aea3bf61dd3c2bccb1
0,0,0,0,0,0,0,0,0,0,0,0,c051e9faf4f36daecedea6639c4185a848366fa6
0,0,0,0,0,0,0,0,0,0,0,0,fb082c34c5818e63dad9b011ce9bae724cb2d2ae
0,0,0,0,0,0,0,0,0,0,0,0,cb38e13b02bd97a32e555ef94fb0c3ecf7652702
0,0,0,0,0,0,0,0,0,0,0,0,dd921d228d2cc07900fd9807d95ffdae712d020e
0,0,0,0,0,0,0,0,0,0,0,0,dad04b93ae33ab4d9832b35549889e2fdf84be16
0,0,0,0,0,0,0,0,0,0,0,0,c6633fcfd8efc016fbe8084afce2018c94959209
0,0,0,0,0,0,0,0,0,0,0,0,1d2098651cb79438944f4fedc94472f98d9523d7
0,0,0,0,0,0,0,0,0,0,0,0,356b2a25476a09f6e67649c3db6730bf14a9f897
0,0,0,0,0,0,0,0,0,0,0,0,fca571a9eba9475172edca761519662a79e6f4bd
0,0,0,0,0,0,0,0,0,0,0,0,7e8a35b1fb4eb19ee6ce275845ffa6b965515a0c
0,0,0,0,0,0,0,0,0,0,0,0,b6da69659bf799f0ebd6bf602ce4c033dd15cb62
0,0,0,0,0,0,0,0,0,0,0,0,5c7b318f88367896e7c481460f12ac71f561fd67
0,0,0,0,0,0,0,0,0,0,0,0,c1c84a4c97b4e60743a9851229f0bf87ce89680f
0,0,0,0,0,0,0,0,0,0,0,0,3f95273a959ca2c98dbd78ed93269b93344b8aec
0,0,0,0,0,0,0,0,0,0,0,0,abf4576cbf7d0e6200943639f36e6176e10c58dc
0,0,0,0,0,0,0,0,0,0,0,0,f5da5343a4a35d99e589a5f26cd3665d1856ac8b
0,0,0,0,0,0,0,0,0,0,0,0,b0d5a8b0bd5d48c8b8da70faf3bd132909217bc2
0,0,0,0,0,0,0,0,0,0,0,0,909f3cdba78c90b83ed67dca51185bbbfb31f55e
0,0,0,0,0,0,0,0,0,0,0,0,21538bc2c8e80ce600cd608d55e1df6812a2b94a
0,0,0,0,0,0,0,0,0,0,0,0,9c56809aee71c485508d2860de8956a4b3715736
0,0,0,0,0,0,0,0,0,0,0,0,1bfce26dde4928da9e035008c70ebeff2fb4484e
0,0,0,0,0,0,0,0,0,0,0,0,59c8620582089c2b39f90496f7406a0d5b921c37
0,0,0,0,0,0,0,0,0,0,0,0,454c09709b7f91a3c544e6ecd0f552a642b2d78a
0,0,0,0,0,0,0,0,0,0,0,0,82e1a4ede6ebb51fce01a7123eb5d1215df3ed87
0,0,0,0,0,0,0,0,0,0,0,0,9798d4a28d47df1ea7655d58d1aa200ebf701ec8
0,0,0,0,0,0,0,0,0,0,0,0,2596772a4d6b518037473cd912ce4d8ed746acab
0,0,0,0,0,0,0,0,0,0,0,0,047e60f494ee3dc79e683312b2aacee15ce21b35
0,0,0,0,0,0,0,0,0,0,0,0,0d58e2ea72a48e6dbdbaf8cceccee1c22bfdf28c
0,0,0,0,0,0,0,0,0,0,0,0,7b747a9835d70ca74e92d4a045fcf7c919399b55
0,0,0,0,0,0,0,0,0,0,0,0,d01a15a35e95e74efb75091d5e66fffe5a60edd7
0,0,0,0,0,0,0,0,0,0,0,0,7d79a7be7666a062f965566d46c6c57c4c73427b
0,0,0,0,0,0,0,0,0,0,0,0,bb1434867f952b7c6fa75ae075d685497b69b4b3
0,0,0,0,0,0,0,0,0,0,0,0,4a4df387be880bc0364fe4dd9f6c4b918a4af78a
0,0,0,0,0,0,0,0,0,0,0,0,e8dd80e938ff1040b32208838b8807ffef193798
0,0,0,0,0,0,0,0,0,0,0,0,6657f2e52f9402bf005b68d28b6211def794888a
0,0,0,0,0,0,0,0,0,0,0,0,07705cd47355a1a10042b18aab154e5eeeafcbcd
0,0,0,0,0,0,0,0,0,0,0,0,58101cf14fe479c4f6ae8526c933eb465efee0ce
0,0,0,0,0,0,0,0,0,0,0,0,49b518ad103e62e5f4797375d519807b43204bfd
0,0,0,0,0,0,0,0,0,0,0,0,f9c29d8aa1fe9c97d527f503238eab338d95dc5e
0,0,0,0,0,0,0,0,0,0,0,0,6028a272e7fc4f16052542a694042f689724217d
0,0,0,0,0,0,0,0,0,0,0,0,3ed6b925de7dde23fe18c6cd502ee5107db75d36
0,0,0,0,0,0,0,0,0,0,0,0,7c4fe2e2cb88b796113a9268a1bb7019a8a7951b
0,0,0,0,0,0,0,0,0,0,0,0,3b322822f012233cd1aa5f8f6e7ba82a2855fad4
0,0,0,0,0,0,0,0,0,0,0,0,c0e5eeb87b2c5c32911d1e4613e7703d8d2b4971
0,0,0,0,0,0,0,0,0,0,0,0,d70b32905b45acd93e9724baabafec3d9ba1c24d
0,0,0,0,0,0,0,0,0,0,0,0,404ce4d68b7ccae8baf7b8e9c98d76c7210aa5aa
0,0,0,0,0,0,0,0,0,0,0,0,cb7affe62ff47fc7a3504c6a6b07b9e96efedbf2
0,0,0,0,0,0,0,0,0,0,0,0,bb67acb015b0dcacc3c1b1d44ad651524e3e7dfd
0,0,0,0,0,0,0,0,0,0,0,0,4be4452bc43d9687cb2619406730dc450265c011
0,0,0,0,0,0,0,0,0,0,0,0,22a9aa0c1ba89d1fe5c4749dbb26f02277d162f1
0,0,0,0,0,0,0,0,0,0,0,0,ea4f112a49859f9b6c40e5f4f6ac0773df86c1d9
0,0,0,0,0,0,0,0,0,0,0,0,4ea6f247a0230daa3899787fe8fd455f7a431e1b
0,0,0,0,0,0,0,0,0,0,0,0,ade11f6eebf16460a7bbe59d7f99b65ce352baf3
0,0,0,0,0,0,0,0,0,0,0,0,3b05e99d04176da933b5dc826d149df3c0758af6
0,0,0,0,0,0,0,0,0,0,0,0,cc436ec666ad6637f8bb2b23dfd7caa72c43779a
0,0,0,0,0,0,0,0,0,0,0,0,bc11103579cca1d1d38ebd30a3882b0f47d74a7b
0,0,0,0,0,0,0,0,0,0,0,0,fec928f5d458137559c8ddb17a1c33a96e3a9b5d
0,0,0,0,0,0,0,0,0,0,0,0,1776cf93f9cfee3d1a6c99fbe18772cb470b60f7
0,0,0,0,0,0,0,0,0,0,0,0,836fa1d9417af32e3cb734bc68a229d6d7cc21de
0,0,0,0,0,0,0,0,0,0,0,0,4cd0b79dd4f992ee5000e17179e04b40bbce4567
0,0,0,0,0,0,0,0,0,0,0,0,078b37c47aa35a7c6b96b2b286314ed57c71fa65
0,0,0,0,0,0,0,0,0,0,0,0,f03cad123ccadd3ef0777816bd09f687b49e8de0
0,0,0,0,0,0,0,0,0,0,0,0,265aba554711f3aba6a720467f377eac81453d11
0,0,0,0,0,0,0,0,0,0,0,0,5d17e5f08d5d457990d0e5e839f259560980e530
0,0,0,0,0,0,0,0,0,0,0,0,9410a91e6c42777a6f7a9cb41bcc353766472580
0,0,0,0,0,0,0,0,0,0,0,0,39858fb4f28597b60780a8c2827b051335c8a677
0,0,0,0,0,0,0,0,0,0,0,0,09b78803e238ef414bcc7e7883592ac7e7680c22
0,0,0,0,0,0,0,0,0,0,0,0,8330b5bcfe70496230dab8c7f45e06b2a9c59fd2
0,0,0,0,0,0,0,0,0,0,0,0,29233dcc3e022b583f6b8972f8b3cee62748eb20
0,0,0,0,0,0,0,0,0,0,0,0,073246a05d7a5109a622235811937b388b8dc8fd
0,0,0,0,0,0,0,0,0,0,0,0,077118c3e9b20d02abb1a298020d7822bf872369
0,0,0,0,0,0,0,0,0,0,0,0,d5b6bbeb3c05b88d29f62bc8562cf82b7ffa6b13
0,0,0,0,0,0,0,0,0,0,0,0,0112cd7f791480487ce2ec714092fb71c2fe885d
0,0,0,0,0,0,0,0,0,0,0,0,940c779044e2ccac82affb06b97261657c6dc990
0,0,0,0,0,0,0,0,0,0,0,0,29c4191b0a0841f494e462d79e8dc2f0af895af1
0,0,0,0,0,0,0,0,0,0,0,0,f103eb2016626995e462b9c246a9095b6983d08b
0,0,0,0,0,0,0,0,0,0,0,0,5e08433978e72f5c1f94bcc8596d289079d9ece7
0,0,0,0,0,0,0,0,0,0,0,0,70e1539c05249e5c2ed68aa246c0b7fe4fc2eb61
0,0,0,0,0,0,0,0,0,0,0,0,285c9993885b8b9962319cab132ea741c977be2a
0,0,0,0,0,0,0,0,0,0,0,0,54f5e58c3473ea7e83f1f7b9c0f4d4c30f56d99f
0,0,0,0,0,0,0,0,0,0,0,0,7bdab1cd194292c648468818fbc9cbee8b0ea524
0,0,0,0,0,0,0,0,0,0,0,0,b0d4ad9b27218f34782e64b019a2c8653afee666
0,0,0,0,0,0,0,0,0,0,0,0,eafc7e9fcc59643cac51fd63df307e4e7e9c3dbd
0,0,0,0,0,0,0,0,0,0,0,0,e1570535ca967bcc89ce443a4d2fee951c2a336e
0,0,0,0,0,0,0,0,0,0,0,0,4810dc5d4382ca3b04faa16eb769adf30c79361f
0,0,0,0,0,0,0,0,0,0,0,0,81f971d348fe0861ea9b39b277f284639c06a0b9
0,0,0,0,0,0,0,0,0,0,0,0,e680814a516cd0a985039032a8f71f85e1160788
0,0,0,0,0,0,0,0,0,0,0,0,87a9eddd13fccf30d561da56daa4ba164449d275
0,0,0,0,0,0,0,0,0,0,0,0,6f80fa9263b9eee9780ce7305aa36c910ba1bc7f
0,0,0,0,0,0,0,0,0,0,0,0,95a30fea9df908548e7d7880c6bc2c068ad5b9b1
0,0,0,0,0,0,0,0,0,0,0,0,6738ddc3da5b5c5ed20d25e95be50f7616e11ec9
0,0,0,0,0,0,0,0,0,0,0,0,44905288aa0d15b094af2c1cfc4938af8f68879b
0,0,0,0,0,0,0,0,0,0,0,0,4faa7a5f6c74f814cee91ccd722060b26857a0d3
0,0,0,0,0,0,0,0,0,0,0,0,74ccb3757cd3ebcb2a4f7c39269a2276fa2f0934
0,0,0,0,0,0,0,0,0,0,0,0,f3e65ea48023148fbf3c0d75b15de11968c16971
0,0,0,0,0,0,0,0,0,0,0,0,59e05b11115eb2bcfe74d9c1db7f406fedca3bf0
0,0,0,0,0,0,0,0,0,0,0,0,2e2a19a681af928bfee1c45265773243f3196c87
0,0,0,0,0,0,0,0,0,0,0,0,ac11f1a0a44039a7f33e6c36cfb8739c77b8206b
0,0,0,0,0,0,0,0,0,0,0,0,6520fab231410c969ad6d6cf088a4b70594987d2
0,0,0,0,0,0,0,0,0,0,0,0,ed261b699bd0b35b61bfcc573c9cfbdb61deed6c
0,0,0,0,0,0,0,0,0,0,0,0,175612914dfa8b39752e708c04f3f9b5d8470ede
0,0,0,0,0,0,0,0,0,0,0,0,0704095520ed4eab0e937f1f44f16dfcaa7504be
0,0,0,0,0,0,0,0,0,0,0,0,6e2f3719105d519b818628a9b9dc49ca5daea45c
0,0,0,0,0,0,0,0,0,0,0,0,5524a263e55b5f7e9b9a65863d30462e383d6416
0,0,0,0,0,0,0,0,0,0,0,0,8ca436f8527a77c8780775ab69db95d4593d3c1b
0,0,0,0,0,0,0,0,0,0,0,0,3986f66d0b2abdbcff47bfce30f322c3872d2574
0,0,0,0,0,0,0,0,0,0,0,0,11f5eadb2163f053cbc76b54f2e660e6efcd1143
0,0,0,0,0,0,0,0,0,0,0,0,3c2e5ad6a73bf31cd2cc99a716175d0a46f85db2
0,0,0,0,0,0,0,0,0,0,0,0,721fcac534df47d66fa1a500ced74698d2e5b941
0,0,0,0,0,0,0,0,0,0,0,0,7a229bf5414a04b2d1f2742cefad898bae0379e2
0,0,0,0,0,0,0,0,0,0,0,0,601cacbebdcc5c29c518ef6ebbf155638a3e17d6
0,0,0,0,0,0,0,0,0,0,0,0,cddd176a0dc2cf40de5ce0ed35da6203ee9d0eaa
0,0,0,0,0,0,0,0,0,0,0,0,025a40e113d709b49f0c168f9e0598685307dd60
0,0,0,0,0,0,0,0,0,0,0,0,dec8dff64599e8b81ea770ef66ce4130347017e6
0,0,0,0,0,0,0,0,0,0,0,0,fc6c5821c3b2c19a13afa899e282c518298ea46f
0,0,0,0,0,0,0,0,0,0,0,0,d9d32ae25b8f467f4499977a80bbf328cb99aa9e
0,0,0,0,0,0,0,0,0,0,0,0,470f66515a5f159fc2c6154d092deb29dd1c84da
