all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
0,0,0,0,0,0,0,0,0,0,0,0,92fbeab6ad94b6683377e26e8af7dd1cb86d615e
0,0,0,0,0,0,0,0,0,0,0,0,619da3419bf6e07c8216f8c952c41a0ea37fcabf
0,0,0,0,0,0,0,0,0,0,0,0,fbb3c512ecbffc97825eaaaf925c9af580608fa8
0,0,0,0,0,0,0,0,0,0,0,0,def073bedb0cd71fbdc1e06d5fed1acf07960388
0,0,0,0,0,0,0,0,0,0,0,0,2cc9f2be7bf7fbd36484bec76b4446704971bbbc
0,0,0,0,0,0,0,0,0,0,0,0,9e79310f854ec24696d02381242a97d45665dd21
0,0,0,0,0,0,0,0,0,0,0,0,7288b734c286166820257ff64b2ef8464240882a
0,0,0,0,0,0,0,0,0,0,0,0,763528655833562e0785f0ecb259934efd95fba5
0,0,0,0,0,0,0,0,0,0,0,0,3f5b1f247f4c8e98516ca505a4aa12fd9578a233
0,0,0,0,0,0,0,0,0,0,0,0,552535a13dce5d96ebc84ce4f0b542894d778b59
0,0,0,0,0,0,0,0,0,0,0,0,a889cae4b2c5267e7d6255a52432af91d2b25b55
0,0,0,0,0,0,0,0,0,0,0,0,e824c3f29c50681cb0738e6c228347b89d0835d5
0,0,0,0,0,0,0,0,0,0,0,0,076938f18a43f521f24303dd1ce81a17c737e417
0,0,0,0,0,0,0,0,0,0,0,0,290018f57d130d0f359b6c61f77c83b0fd5e0f99
0,0,0,0,0,0,0,0,0,0,0,0,898e32fa049771c641a94017ea826281a11e2a21
0,0,0,0,0,0,0,0,0,0,0,0,cd076afe9dc8868c63f52e0ca47b7051f81d3d9f
0,0,0,0,0,0,0,0,0,0,0,0,2e66160132f8b2d1c688cd367384a0d725d0c50b
0,0,0,0,0,0,0,0,0,0,0,0,4b049f1102ff2646aa0c5de6f546d5e6e5abe82f
0,0,0,0,0,0,0,0,0,0,0,0,9cd20400130152479dc8c3c0dccb9e1e9f4930f7
0,0,0,0,0,0,0,0,0,0,0,0,db45b2f6cb6447838dc8d11012934d27194ace80
0,0,0,0,0,0,0,0,0,0,0,0,06e6ed21030b039582799f6021ed5186743d6cc8
0,0,0,0,0,0,0,0,0,0,0,0,b7459be694b33f72fd4a93c70b81ea4f8c152982
0,0,0,0,0,0,0,0,0,0,0,0,1901d260b4f797a824cc09fb3c6951d482e8880e
0,0,0,0,0,0,0,0,0,0,0,0,394dd1f2276766c7d86f3fe2fbdb62606e57dc97
0,0,0,0,0,0,0,0,0,0,0,0,a1645015326ed7b6fe9390cdac9aafe918fbe27c
0,0,0,0,0,0,0,0,0,0,0,0,e6f86d6c0861c3b7cd4618ac23c72e4a60cef212
0,0,0,0,0,0,0,0,0,0,0,0,3e6e77011a1ea44c726c06c49e557624197a95df
0,0,0,0,0,0,0,0,0,0,0,0,633fbccdc6b26836d64792083f3127dd51975d7a
0,0,0,0,0,0,0,0,0,0,0,0,38758290f50660f447b13b49a004434e3cd5d76b
0,0,0,0,0,0,0,0,0,0,0,0,8a55615b7cef8b0f7deb0a21fa9ee592d3d4544b
0,0,0,0,0,0,0,0,0,0,0,0,7c48b548a399df7e09c6f302090a8dab293d0723
0,0,0,0,0,0,0,0,0,0,0,0,7bcd7fc32c55804886e11526cfebc97eee644899
0,0,0,0,0,0,0,0,0,0,0,0,a81331e675dbe67c20a6ec083eb74b06198d28a4
0,0,0,0,0,0,0,0,0,0,0,0,6bd1582e0aa3caa56dd16e1f93575abfeb7ee4d1
0,0,0,0,0,0,0,0,0,0,0,0,47f46e6e9cdc4b3581613b1f6940e7f0f0a9bdc7
0,0,0,0,0,0,0,0,0,0,0,0,ff256351e641ea9f430cb600c500fad0a6bdae5b
0,0,0,0,0,0,0,0,0,0,0,0,75b6c2b1b25212a408aeef22925f3c756faeb56a
0,0,0,0,0,0,0,0,0,0,0,0,3de66ffb26eaa00bad25cfc9d02186362528b870
0,0,0,0,0,0,0,0,0,0,0,0,effb5e5de3c1e5827cd29e2d4706c9e778159474
0,0,0,0,0,0,0,0,0,0,0,0,8ec69732b0d0cfd651d100d4246992a9b9601394
0,0,0,0,0,0,0,0,0,0,0,0,a48083f7ce6c12be2e371e3a9930fb95495a4089
0,0,0,0,0,0,0,0,0,0,0,0,f545bc618524f80880a554549be4cc6e55e96551
0,0,0,0,0,0,0,0,0,0,0,0,2a1f48e662dfc59fc28f480d008257cd12a241df
0,0,0,0,0,0,0,0,0,0,0,0,7b201b41f4cbd703e780b6424e62435da8a884ae
0,0,0,0,0,0,0,0,0,0,0,0,03f8b71f617c7b90b1931f96eb816402e19512f4
0,0,0,0,0,0,0,0,0,0,0,0,2a365d281179fbcf9dc44a605b30cfffa5e003f2
0,0,0,0,0,0,0,0,0,0,0,0,6e7716369cdb3c926d2cf9c51f927979719da56c
0,0,0,0,0,0,0,0,0,0,0,0,7db9945b4f549d4cdf747e93e1c0b291381e3695
0,0,0,0,0,0,0,0,0,0,0,0,c3005a2d3759c8c534ccdc482e7e979257dd542c
0,0,0,0,0,0,0,0,0,0,0,0,3ee61d0436f4682fda16f2d756f68db0b8ec5422
0,0,0,0,0,0,0,0,0,0,0,0,e361f173759a10f756bdedbf76d9fc205b5be03d
0,0,0,0,0,0,0,0,0,0,0,0,ab97ba3d9ffc72b70be2124d5771a07bd58c5914
0,0,0,0,0,0,0,0,0,0,0,0,bb4a10c47c75c6346c9d25c2a9a7b4b8d84ed1c1
0,0,0,0,0,0,0,0,0,0,0,0,153e48d1497cc6d388fc5b254a6eaea0a3ca3a6c
0,0,0,0,0,0,0,0,0,0,0,0,2b55e32d0a2c7a30f47ed6f7c2b0437f2365c774
0,0,0,0,0,0,0,0,0,0,0,0,612312553118371289330f50b38653d1206246c0
0,0,0,0,0,0,0,0,0,0,0,0,951516622536049c3bb97dc2e956468601573b65
0,0,0,0,0,0,0,0,0,0,0,0,609841c1ffda22c2c91ec1820083601cf1f9cb28
0,0,0,0,0,0,0,0,0,0,0,0,5b515cc8aa82be918c11a571ead2c56961a92b81
