all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
1,0,0,1,0,0,0,0,0,0,0,0,431e385ded95a6f5c80e90ae20f78e927eb96f0a
1,0,0,1,0,0,0,0,0,0,0,0,4ad6be7787d305539ac9852ed3425622d7b8755f
1,0,0,1,0,0,0,0,0,0,0,0,3a4b9add6ace9a1ba00d900841a13aea8f4b9632
1,0,0,1,0,0,0,0,0,0,0,0,81dda49310c5e300afc8ecd070a8f81b995002bb
1,0,0,1,0,0,0,0,0,0,0,0,1594a1dab53f6259b8d34dd1a575b79555a322cf
1,0,0,1,0,0,0,0,0,0,0,0,ad365bbc87add7f745fee5af6108adc3f03ca0c6
1,0,0,1,0,0,0,0,0,0,0,0,a7c3fb5a7204c5116e7dfe08026f97f652cc5454
1,0,0,1,0,0,0,0,0,0,0,0,38d71080ead4911fdda634e7416d795df23d49c4
1,0,0,1,0,0,0,0,0,0,0,0,fcb36ba32a80b8d391a5bd755efa62ba976c3c31
1,0,0,1,0,0,0,0,0,0,0,0,69ea6d73c4ed7f73daf1f85867615314c0f9686a
1,0,0,1,0,0,0,0,0,0,0,0,4cc622023ca2ba3116e111fe639e161c3cb938f0
1,0,0,1,0,0,0,0,0,0,0,0,4644ad6db918d44ce7c80d4530ef2870838c8b3d
1,0,0,1,0,0,0,0,0,0,0,0,e5b3cf5f7c4fa91a7a969a95b716b5185346a697
1,0,0,1,0,0,0,0,0,0,0,0,7986617eb31fe36e83b8f314a836e2604e66b199
1,0,0,1,0,0,0,0,0,0,0,0,47b3ef69969cb7f78b57ad758645d1cb653c9545
1,0,0,1,0,0,0,0,0,0,0,0,71c422700e761b88199fa8d7220feafd94d1aaeb
1,0,0,1,0,0,0,0,0,0,0,0,3790a1f98157570c59583d5a3ffea1679f4821a4
1,0,0,1,0,0,0,0,0,0,0,0,7cb4960550c45baa65e3f99d1aa60a05bfcc6c8c
1,0,0,1,0,0,0,0,0,0,0,0,29a793a0d208c725e8d8e2f24a3fd47deb0874e9
1,0,0,1,0,0,0,0,0,0,0,0,a1f22945d79fc045d11b34407bd818eca371a72f
