all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
0,0,0,0,0,0,0,0,0,0,0,0,41358eaf559c1011fc3e94149e716e1dfc79e391
0,0,0,0,0,0,0,0,0,0,0,0,a61cf50b53f7f42bc4b2e64044a3ddca7aec3bf3
0,0,0,0,0,0,0,0,0,0,0,0,865067aad62ac9c21bf832c76b2e0154f3b23788
0,0,0,0,0,0,0,0,0,0,0,0,dda8d611e94c971115486247d4a564a6ff61b6c5
0,0,0,0,0,0,0,0,0,0,0,0,33b0b25c30849f9b112b82ea281c78c2a218a343
0,0,0,0,0,0,0,0,0,0,0,0,8cbbe9a7cfaaec36939a8cc94ba8167b5f555365
0,0,0,0,0,0,0,0,0,0,0,0,e76f7f4eae96eddeafe4ceeaf8daf76c0df8ce64
0,0,0,0,0,0,0,0,0,0,0,0,8e295eda802c4ba2daf9732f7f5b4173a98d88db
0,0,0,0,0,0,0,0,0,0,0,0,47fa57e5afbbba040a1e7092d05af20f4ea1c2b9
0,0,0,0,0,0,0,0,0,0,0,0,55d17fdbc75da66fd5fb1b1310039c96ade3dc0b
0,0,0,0,0,0,0,0,0,0,0,0,7bcdd2b63e6a4e027d1dee33f1275075d1f84eb3
0,0,0,0,0,0,0,0,0,0,0,0,64816c873d1269f25254da2caad57d97f368e1c1
0,0,0,0,0,0,0,0,0,0,0,0,124d3345e7a0f352aee08b0debc1a088b1230ec5
0,0,0,0,0,0,0,0,0,0,0,0,de538ea282c948bbde30216b42786c7122c8581e
0,0,0,0,0,0,0,0,0,0,0,0,6f5d473082a231b4e8a124ee3c100b8a068e11cc
0,0,0,0,0,0,0,0,0,0,0,0,dcff241988b479df0b03b729958f0fe1db0eb3ae
0,0,0,0,0,0,0,0,0,0,0,0,237b8271fdc9cefcdcd0f0564a522e37add37e76
0,0,0,0,0,0,0,0,0,0,0,0,39498aa755baa0381d7f76632cf60d5825ed3f13
0,0,0,0,0,0,0,0,0,0,0,0,dc71d1766ee797a327eb9f7818df1cf3aa4830ee
0,0,0,0,0,0,0,0,0,0,0,0,8213edd87690b2c0b81ecc1681c648d85ec00a75
0,0,0,0,0,0,0,0,0,0,0,0,899ea6beed4985901c6bc30f96b2e07db2e69e76
0,0,0,0,0,0,0,0,0,0,0,0,653193e2da48559db74838a27fbe3ee36cec9ca6
0,0,0,0,0,0,0,0,0,0,0,0,781e4ae7254f0cc30f868f149e23393842eb0a79
0,0,0,0,0,0,0,0,0,0,0,0,5e552ace4f82b141dcd089719aa312fd50323255
0,0,0,0,0,0,0,0,0,0,0,0,3ac49dea5f3c3b76b0b2a0fdde96b099ce48171e
0,0,0,0,0,0,0,0,0,0,0,0,db451146ea1a87ef0011bb84cee0419eb806822e
0,0,0,0,0,0,0,0,0,0,0,0,6eae2165d9e03e1064950820983596fe5f814dbe
0,0,0,0,0,0,0,0,0,0,0,0,79c5fb177369b57c8724890f3d89e96c70accab6
0,0,0,0,0,0,0,0,0,0,0,0,50082a1b7a79d1cbbe88ac3eca988f4008859318
0,0,0,0,0,0,0,0,0,0,0,0,007cd4c559b52a8c07cc814a66a6811ff6098111
0,0,0,0,0,0,0,0,0,0,0,0,82965a56fc67d0c75fce32a2320d2fdb5899f51c
0,0,0,0,0,0,0,0,0,0,0,0,084fc255b8ecd56c78f7a9cd6a3317f91588012b
0,0,0,0,0,0,0,0,0,0,0,0,1cae5f2d38d3057e989245080f99c70382166e46
0,0,0,0,0,0,0,0,0,0,0,0,79da4abb23a605c8f029d140454398792d30af81
0,0,0,0,0,0,0,0,0,0,0,0,d8f06929edf972a73654da1ef9fd0d670aa2ea11
0,0,0,0,0,0,0,0,0,0,0,0,1013f53093ea44fb413a2cda2a87c565c66c28b5
0,0,0,0,0,0,0,0,0,0,0,0,69b94bac3474255992fa51eaf38bad2677da5f4b
0,0,0,0,0,0,0,0,0,0,0,0,8d694a34f114d230e0deaaf436690d04ca33fba6
0,0,0,0,0,0,0,0,0,0,0,0,19e03009555e21b60aa61db4b14cf3ee516990ad
0,0,0,0,0,0,0,0,0,0,0,0,648b82353476c0bb8262ff13bc83e898029b05ed
0,0,0,0,0,0,0,0,0,0,0,0,d9362205f45d5278ac4a9238c4debe57fcef8db1
0,0,0,0,0,0,0,0,0,0,0,0,6370e48e0a45e3e71eae0fa023d8eea133c4d031
0,0,0,0,0,0,0,0,0,0,0,0,7fa0cc6717e950125d2835cfbf093ac8916f33ef
0,0,0,0,0,0,0,0,0,0,0,0,f89050def2e4e3ff01a6c551e1a47a6656f38004
0,0,0,0,0,0,0,0,0,0,0,0,b563bfa384d0b4bbdeb715f31ccb538e67fec320
0,0,0,0,0,0,0,0,0,0,0,0,0ea9a5a2fa0355fbb049460392a0e7d00c0977f3
0,0,0,0,0,0,0,0,0,0,0,0,a5ed1266b6e0eb02b6f1f6fda28383a746c6db2c
0,0,0,0,0,0,0,0,0,0,0,0,95082481e1fa58108116663a2d482ed7ea90fe1a
0,0,0,0,0,0,0,0,0,0,0,0,0ed75f8bcf8936480ca09a2e54c8bc6773afbeb8
0,0,0,0,0,0,0,0,0,0,0,0,49e923987a056827e56b7155e3e306b442415ae4
0,0,0,0,0,0,0,0,0,0,0,0,4bda6e31c90cc820dc826ca2a0168be7b2128008
0,0,0,0,0,0,0,0,0,0,0,0,d746f6b8fe70f0858cfd2626a6de6330a2abfc8e
0,0,0,0,0,0,0,0,0,0,0,0,4681bbd9e81bb4afb8116e05253f0c87553d1ae5
0,0,0,0,0,0,0,0,0,0,0,0,5b2d26afb38071f67551c0e56fc7cc95f509189b
0,0,0,0,0,0,0,0,0,0,0,0,6ab1f6c63b5b54712b0220e9b5591d004aeeafcc
0,0,0,0,0,0,0,0,0,0,0,0,3c77ec3c2784a3ccf4ef82ce739bb85b558eb44b
0,0,0,0,0,0,0,0,0,0,0,0,081028d268681eb05874ccdbb58a69c0a190bb17
0,0,0,0,0,0,0,0,0,0,0,0,1d5837c67586bb7c942d5cede2c2083225fb214d
0,0,0,0,0,0,0,0,0,0,0,0,61cf6d166aa65f8a5515fb5e994f0a873b918494
0,0,0,0,0,0,0,0,0,0,0,0,2a216c94363682316c6cbef64d7e1807af7b70e9
0,0,0,0,0,0,0,0,0,0,0,0,ced337cd8ecb98b62fca10a36745f54f13cf5d3d
0,0,0,0,0,0,0,0,0,0,0,0,20dceca949c3ae4d9ca638db58f3a460b5d88f7b
0,0,0,0,0,0,0,0,0,0,0,0,fb651d25de0e689f99a8996d89549f036cc5ff63
0,0,0,0,0,0,0,0,0,0,0,0,4c32db98ef2a4d9cd15369ab48b2d18d3d065637
0,0,0,0,0,0,0,0,0,0,0,0,0facb36f0a62525a6e6faadd227ff4ecd4873986
0,0,0,0,0,0,0,0,0,0,0,0,9044f7a33ddc7de9c4252de45c923ed2c5414592
0,0,0,0,0,0,0,0,0,0,0,0,18896d5e2fef521cbbc4ae54a6fe7bed95882190
0,0,0,0,0,0,0,0,0,0,0,0,9d5ffc077f1ceba7e15f82fb32954117d5fd5d7a
0,0,0,0,0,0,0,0,0,0,0,0,713fd314bc91b65f679ed9917f979e2969735bb8
0,0,0,0,0,0,0,0,0,0,0,0,4bbb0fdbd076bda867a8fa19c4a6fdcd5c469c22
0,0,0,0,0,0,0,0,0,0,0,0,45635e87e0e75b817bbcd2f1bc2c9905c3293d55
0,0,0,0,0,0,0,0,0,0,0,0,b70de3cf7ca780a7a2c872dc7e395a2821f9a646
1,0,1,1,0,0,0,0,0,0,0,0,1f193b29b2afb9eb1c941cc449d314bd40cbe515
5,0,1,1,0,0,0,0,0,0,0,0,0361c3d028d809d09c34d603f35f4fcf4578d3ec
5,0,1,1,0,0,0,0,0,0,0,0,2b216d214aef88b64b21a8436ec5562331656323
5,0,1,1,0,0,0,0,0,0,0,0,15fe4dbb22309c18ba08cf479dd5df8729e3426a
6,0,2,2,0,0,0,0,0,0,0,0,d63748e170d121ce8af48bfd83126594a966b881
7,0,3,3,0,0,0,0,0,0,0,0,edd01079cdd7b9faef2a7a50b2aa07a37c8b89d7
7,7,3,3,3,3,0,0,0,0,0,0,8bc12822b8e9427a82d918401c57ac8a0d31314b
7,7,3,3,3,3,0,0,0,0,0,0,62463fe238ae0f64d0413b1ada27001fecd97460
10,10,4,5,4,5,0,0,0,0,0,0,7d1f5f3af03eee7ce4dce5a45a62def2ad62201f
11,11,5,6,5,6,0,0,0,0,0,0,52294fdba424184d712928d73d125cce480a5780
12,12,6,7,6,7,0,0,0,0,0,0,a76a29c7e0208a07a14f209733e70f56535f3d9b
12,12,6,7,6,7,0,0,0,0,0,0,2a9f509585cfb0fbea5bbf5f0265361a9c223c08
13,13,7,8,7,8,0,0,0,0,0,0,641295d7280ac71fff5cbc2bdd29028734855e3f
13,13,7,8,7,8,0,0,0,0,0,0,b0b93ad4d08b2a44edb5a654500a050649765ca0
14,14,7,8,7,8,0,0,0,0,0,0,083a382eba2d0ef0943f15ac9eb564afeefdd00f
14,14,7,8,7,8,0,0,0,0,0,0,56ee91e97ac9443944b028513bb9aad0836548a1
14,0,7,8,0,0,0,0,0,0,0,0,eefc166e68911e68fcd015318013f661aed34e72
14,0,7,8,0,0,0,0,0,0,0,0,fd31358010696a92093b8f8a1ceb2b28b6ed9b07
